minutes,T,Pa
0.0,21.8,0.00140
0.5,25.7,0.00140
1.0,33.3,0.00142
1.5,36.6,0.00144
2.0,39.8,0.00146
2.5,41.9,0.00146
3.0,44.1,0.00150
3.5,46.3,0.00154
4.0,48.3,0.00162
4.5,50.3,0.00156
5.0,51.7,0.00152
5.5,53.3,0.00144
6.0,54.8,0.00142
6.5,56.2,0.00140
7.0,57.6,0.00138
7.5,58.8,0.00136
8.0,60.1,0.00136
8.5,61.3,0.00136
9.0,60.7,0.00136
9.5,65.0,0.00136
10.0,69.6,0.00140
10.5,72.8,0.00142
11.0,76.2,0.00152
11.5,78.9,0.00160
12.0,81.9,0.00164
12.5,84.8,0.00166
13.0,86.9,0.00168
13.5,88.6,0.00166
14.0,91.1,0.00168
14.5,93.8,0.00170
15.0,96.1,0.00170
15.5,98.3,0.00168
16.0,100.1,0.00170
16.5,102.1,0.00172
17.0,103.8,0.00176
17.5,105.6,0.00178
18.0,107.9,0.00178
18.5,109.4,0.00178
19.0,110.9,0.00178
19.5,112.4,0.00178
20.0,112.6,0.00174
20.5,112.9,0.00176
21.0,115.8,0.00176
21.5,116.7,0.00178
22.0,117.9,0.00176
22.5,118.2,0.00164
23.0,118.5,0.00160
23.5,119.8,0.00160
24.0,120.5,0.00160
