V_F,T_min,T_max,I
4.00,1449,1459,0
4.10,1464,1472,0
4.20,1478,1485,0
4.25,1486,1493,0
4.30,1493,1500,0.005
4.35,1501,1507,0.01
4.40,1507,1514,0.01
4.45,1514,1522,0.02
4.50,1521,1529,0.02
4.55,1539,1544,0.04
4.60,1546,1553,0.05
4.65,1553,1560,0.07
4.70,1566,1572,0.08
4.75,1577,1583,0.14
4.80,1583,1589,0.16
4.85,1588,1595,0.19
4.90,1595,1601,0.23
4.95,1601,1607,0.28
5.00,1606,1613,0.33
5.05,1613,1618,0.40
5.10,1618,1624,0.48
5.15,1624,1629,0.56
5.20,1627,1634,0.66
5.25,1633,1640,0.78
5.30,1640,1646,0.95
5.35,1646,1652,1.08
5.40,1652,1658,1.25
